Unir,UN
Comunes,CO
Convergencia Social,CS
Revolución Democrática,RD
Revolucion Democratica,RD
Comunista,PC
Comunista de Chile,PC
Acción Humansta,AH
Federación Regionalista Verde Social,FRVS
Socialista,PS
Liberal,PL
Liberal de Chile,PL
Por la Democracia,PPD
Radical,PR
Radical de Chile,PR
Demócrata Cristiano,DC
Democracia Cristiana,DC
Evopoli,EVOP
Evolución Política,EVOP
Renovación Nacional,RN
Renovacion Nacional,RN
Unión Demócrata Independiente,UDI
Union Democrata Independiente,UDI
Humanista,PH
Ecologísta Verde,PEV
Ecologista Verde,PEV
Republicano,PLR
Independiente,IND
Independientes,IND